,raceId,year,round,circuitId,name,date,time,url,data_source,ingestion_date
604,605,1973,1,25,Argentine Grand Prix,1973-01-28,\N,http://en.wikipedia.org/wiki/1973_Argentine_Grand_Prix,testing,2024-07-19 09:54:18.999993
605,606,1973,2,18,Brazilian Grand Prix,1973-02-11,\N,http://en.wikipedia.org/wiki/1973_Brazilian_Grand_Prix,testing,2024-07-19 09:54:18.999993
606,607,1973,3,30,South African Grand Prix,1973-03-03,\N,http://en.wikipedia.org/wiki/1973_South_African_Grand_Prix,testing,2024-07-19 09:54:18.999993
607,608,1973,4,49,Spanish Grand Prix,1973-04-29,\N,http://en.wikipedia.org/wiki/1973_Spanish_Grand_Prix,testing,2024-07-19 09:54:18.999993
608,609,1973,5,40,Belgian Grand Prix,1973-05-20,\N,http://en.wikipedia.org/wiki/1973_Belgian_Grand_Prix,testing,2024-07-19 09:54:18.999993
609,610,1973,6,6,Monaco Grand Prix,1973-06-03,\N,http://en.wikipedia.org/wiki/1973_Monaco_Grand_Prix,testing,2024-07-19 09:54:18.999993
610,611,1973,7,47,Swedish Grand Prix,1973-06-17,\N,http://en.wikipedia.org/wiki/1973_Swedish_Grand_Prix,testing,2024-07-19 09:54:18.999993
611,612,1973,8,34,French Grand Prix,1973-07-01,\N,http://en.wikipedia.org/wiki/1973_French_Grand_Prix,testing,2024-07-19 09:54:18.999993
612,613,1973,9,9,British Grand Prix,1973-07-14,\N,http://en.wikipedia.org/wiki/1973_British_Grand_Prix,testing,2024-07-19 09:54:18.999993
613,614,1973,10,39,Dutch Grand Prix,1973-07-29,\N,http://en.wikipedia.org/wiki/1973_Dutch_Grand_Prix,testing,2024-07-19 09:54:18.999993
614,615,1973,11,20,German Grand Prix,1973-08-05,\N,http://en.wikipedia.org/wiki/1973_German_Grand_Prix,testing,2024-07-19 09:54:18.999993
615,616,1973,12,23,Austrian Grand Prix,1973-08-19,\N,http://en.wikipedia.org/wiki/1973_Austrian_Grand_Prix,testing,2024-07-19 09:54:18.999993
616,617,1973,13,14,Italian Grand Prix,1973-09-09,\N,http://en.wikipedia.org/wiki/1973_Italian_Grand_Prix,testing,2024-07-19 09:54:18.999993
617,618,1973,14,48,Canadian Grand Prix,1973-09-23,\N,http://en.wikipedia.org/wiki/1973_Canadian_Grand_Prix,testing,2024-07-19 09:54:18.999993
618,619,1973,15,46,United States Grand Prix,1973-10-07,\N,http://en.wikipedia.org/wiki/1973_United_States_Grand_Prix,testing,2024-07-19 09:54:18.999993
